S.No,Startup,City,Funding Raised (reported),Stage,Key Investors,Source,Hiring Signal,Stage Tier,Applied? / Notes,ats,career_url,confidence
33,Goodmeetings,Bengaluru,$1.7M,Early Stage,"Chiratae Ventures, Google for Startups","Inc42 AI Startup Tracker, Feb 2026","Sales AI, scaling",Pre-Seed / Seed,,needs-resolution,,
34,Redacto,Bengaluru,$1.6M,Early Stage,"Antler, PeerCapital","Inc42 AI Startup Tracker, Feb 2026",Recent raise,Pre-Seed / Seed,,needs-resolution,,
35,Jhana,Bengaluru,$1.6M,Early Stage,"Together Fund, JioGenext","Inc42 AI Startup Tracker, Feb 2026","Legal AI, scaling",Pre-Seed / Seed,,needs-resolution,,
36,Segwise,Bengaluru,$1.6M,Early Stage,"Google for Startups, Powerhouse Ventures","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
37,Humantic AI,Bengaluru/Palo Alto,$1.5M,Early Stage,"Neon Fund, Carya Venture Partners","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
38,Ayna,Bengaluru,$1.5M,Early Stage,Inflexor Ventures,Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
39,Floworks AI,Bengaluru,$1.5M,Seed Stage,"SenseAI, Y Combinator, Entrepreneur First","Inc42 AI Startup Tracker, Feb 2026",YC-backed sales AI,Pre-Seed / Seed,,needs-resolution,,
40,Optiq,Bengaluru,$1.5M,Early Stage,"Better Capital, Sunn91, Carya","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
41,Clueso AI,Bengaluru,$1.4M,Early Stage,"Y Combinator, f7 Ventures","Inc42 AI Startup Tracker, Feb 2026",YC-backed,Pre-Seed / Seed,,ashby,https://jobs.ashbyhq.com/clueso,"medium (auto-resolved, 4/4 listed roles are India-located)"
42,Locale AI,Bengaluru,$1.3M,Early Stage,"Better Capital, Chiratae Ventures","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
43,Adya AI,Bengaluru,$1.26M,Early Stage,Google Cloud (Partner/Grant),"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
44,Unscript AI,Bengaluru,$1.25M,Early Stage,"AWS, Exfinity, Entrepreneurs First","Inc42 AI Startup Tracker, Feb 2026","10,000+ companies worked with",Pre-Seed / Seed,,needs-resolution,,
45,Expertia AI,Bengaluru,$1.2M,Early Stage,"Chiratae Ventures, Endiya Partners","Inc42 AI Startup Tracker, Feb 2026","HR-tech AI, scaling",Pre-Seed / Seed,,smartrecruiters,https://careers.smartrecruiters.com/expertiaai,high
46,Segmind,Bengaluru,$1.2M,Early Stage,"All In Capital, Zephyrmind","Inc42 AI Startup Tracker, Feb 2026",AI infra,Pre-Seed / Seed,,needs-resolution,,
47,Quso AI,Bengaluru,$1.1M,Early Stage,"Google for Startups, Entrepreneurs First","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
48,Onfinance AI,Bengaluru,$5M+ (incl. $4.2M pre-Series A),Early Stage,"Peak XV Surge, Silverneedle Ventures",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
49,Hypergro AI,Bengaluru,$875K,Early Stage,"Silverneedle, Huddle, TDV Partners","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
50,Riverline AI,Bengaluru,$825K,Early Stage,"South Park Commons, gradCapital, DeVC","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
51,Quash Nets,Bengaluru,$650K,Early Stage,"Arali Ventures, DeVC, Java Capital","Inc42 AI Startup Tracker, Feb 2026","Agentic QA AI, early stage",Pre-Seed / Seed,,needs-resolution,,
52,Vitra AI,Bengaluru,$537K,Early Stage,"100X.VC, Inflexor, 2AM VC","Inc42 AI Startup Tracker, Feb 2026",Google for Startups alum,Pre-Seed / Seed,,needs-resolution,,
53,Hexo AI,Bengaluru,$520K,Early Stage,Antler India,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
54,Wizr AI,Bengaluru,$500K,Early Stage,"Kerala Angel Network, Upsparks","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
55,Alchemyst AI,Bengaluru,$300K,Early Stage,"100Unicorns, Inflection Point Ventures","Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
56,AuraML,Bengaluru,$230K,Early Stage,IAN Group,"Inc42 AI Startup Tracker, Feb 2026",Robotics sim AI,Pre-Seed / Seed,,needs-resolution,,
57,Verifast,Bengaluru,$125K,Early Stage,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
58,Dashverse,Bengaluru/SF,Undisclosed,Early Stage,"Peak XV, Z47, Stellaris","Inc42 AI Startup Tracker, Feb 2026",Well-backed investors,Pre-Seed / Seed,,needs-resolution,,
59,Keploy,Bengaluru/SF,Undisclosed,Early Stage,"Google, Chiratae, Maruti Suzuki Accelerator","Inc42 AI Startup Tracker, Feb 2026","Testing AI, well-backed",Pre-Seed / Seed,,needs-resolution,,
60,Multibagg AI,Bengaluru,Undisclosed,Early Stage,A Junior VC (AJVC),"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
61,Vishwa AI,Bengaluru,Undisclosed,Early Stage,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","AI infra, early stage",Pre-Seed / Seed,,needs-resolution,,
62,Superjoin,Bengaluru,Undisclosed,Early Stage,Better Capital,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
63,Contrails AI,Bengaluru,Undisclosed,Early Stage,Huddle Ventures,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
64,Ziroh Labs,Bengaluru,Undisclosed,Early Stage,"MassChallenge, IIT Madras","Inc42 AI Startup Tracker, Feb 2026","AI infra, early stage",Pre-Seed / Seed,,needs-resolution,,
65,Aikenist,Bengaluru,Undisclosed,Early Stage (7 yrs operating),Undisclosed,Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 - radiology AI,Pre-Seed / Seed,,needs-resolution,,
66,SuperBryn,Bengaluru,"Undisclosed (newest, est. 2025)",Pre-Seed/Early,Undisclosed,Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
67,CraftifAI,Bengaluru,$3M,Early Stage,"Ankur Capital, IvyCap Ventures",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
68,H2Loop AI,Bengaluru,Undisclosed,Early Stage,"Speciale Invest, 3one4 Capital",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
69,Pipeshift,Bengaluru/SF,$2.5M,Early Stage,"Pioneer Fund, Tribe Capital, Y Combinator",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),YC + Google Accelerator 2026,Pre-Seed / Seed,,needs-resolution,,
70,CreateOS (NodeOps),Bengaluru,$5M,Early Stage,"L1D, Blockchain Founders Fund",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
71,Dodo Payments,Bengaluru,Undisclosed,Early Stage,"Antler, 100Unicorns",Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
72,Bolna AI,Bengaluru,YC-backed (F2025),Pre-Seed/Seed,Y Combinator,Y Combinator India company directory,"21 employees, active",Pre-Seed / Seed,,ashby,https://jobs.ashbyhq.com/bolna,"medium (auto-resolved, 1/1 listed roles are India-located)"
73,Frekil,Bengaluru,YC-backed (P2025),Pre-Seed,Y Combinator,Y Combinator India company directory,"2 employees, early",Pre-Seed / Seed,,needs-resolution,,
74,Truffle AI,Bengaluru,YC-backed (W2025),Pre-Seed,Y Combinator,Y Combinator India company directory,"2 employees, early",Pre-Seed / Seed,,needs-resolution,,
75,CORE (heysol),Bengaluru,YC-backed (S2023),Seed,Y Combinator,Y Combinator India company directory,3 employees,Pre-Seed / Seed,,needs-resolution,,
76,SuperKalam,Bengaluru,YC-backed (W2023),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"20 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
77,Raven,Bengaluru,YC-backed (S2022),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"4 employees, currently hiring per YC",Pre-Seed / Seed,,greenhouse,https://job-boards.greenhouse.io/raven,medium
78,Maya Labs,Bengaluru,YC-backed (S2022),Seed,Y Combinator,Y Combinator India company directory,5 employees,Pre-Seed / Seed,,needs-resolution,,
79,100x,Bengaluru,YC-backed (S2022),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"3 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
80,SigmaMind AI,Bengaluru,YC-backed (S2022),Seed,Y Combinator,Y Combinator India company directory,12 employees,Pre-Seed / Seed,,needs-resolution,,
81,Flux Auto,Bengaluru,YC-backed (W2021),Seed,Y Combinator,Y Combinator India company directory,"56 employees, autonomous mobility",Pre-Seed / Seed,,needs-resolution,,
82,Coulomb AI,Bengaluru,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"10 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
83,RocketSDR,Bengaluru,YC-backed (W2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"30 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
84,BusinessOnBot,Bengaluru,YC-backed (W2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"25 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
85,Vahan AI,Bengaluru,$10M (+YC S2019),Growth/Seed crossover,"Khosla Ventures, Y Combinator","Inc42 AI Startup Tracker, Feb 2026","85 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
86,Spark Studio,Bengaluru,YC-backed (S2021),Seed,Y Combinator,Y Combinator India company directory,"27 employees, kids' AI edtech",Pre-Seed / Seed,,needs-resolution,,
87,DrDroid,Bengaluru,YC-backed (W2023),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"8 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
88,Peoplebox.ai,Bengaluru,YC-backed (S2022),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"35 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
89,Rivia.AI,Bengaluru,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"5 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
90,Codingal,Bengaluru,YC-backed (W2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"60 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
91,Weekday,Bengaluru,YC-backed (W2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"38 employees, AI recruiting, currently hiring",Pre-Seed / Seed,,needs-resolution,,
92,Explorex,Bengaluru,YC-backed (S2020),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"25 employees, AI concierge, currently hiring",Pre-Seed / Seed,,needs-resolution,,
93,Morphle Labs,Bengaluru,YC-backed (W2020),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"65 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
94,Karbon Card,Bengaluru,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"144 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
95,Cashfree Payments,Bengaluru,YC-backed (S2017),"Seed-origin, now scaled",Y Combinator,Y Combinator 'India startups currently hiring' page,"200 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
96,Kalam Labs,Bengaluru/India,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"10 employees, aerospace AI, currently hiring",Pre-Seed / Seed,,needs-resolution,,
97,Hyperleap AI,Hyderabad,$225K,Early Stage,,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
98,Boltzmann Labs,Hyderabad,$100K,Early Stage,AngelList India,"Inc42 AI Startup Tracker, Feb 2026",Drug discovery AI,Pre-Seed / Seed,,needs-resolution,,
99,Subtl AI,Hyderabad,$100K,Early Stage,ITI Growth Opportunities Fund,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
100,Landeed,Hyderabad,YC-backed (S2022),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"35 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
101,Swipe,Hyderabad,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"60 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
102,Reclaim Protocol,Hyderabad,YC-backed (W2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"17 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
103,UrbanKisaan,Hyderabad,YC-backed (W2020),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"53 employees, AI plant biology, currently hiring",Pre-Seed / Seed,,needs-resolution,,
104,AlgoUniversity,Hyderabad,YC-backed (S2021),Seed,Y Combinator,Y Combinator 'India startups currently hiring' page,"10 employees, currently hiring per YC",Pre-Seed / Seed,,needs-resolution,,
105,Finbots AI,Hyderabad,$3M,Growth Stage,Accel,"Inc42 AI Startup Tracker, Feb 2026",Vertical fintech AI,Pre-Seed / Seed,,needs-resolution,,
106,Singulr,Pune,$10M,Early Stage,"Dell Technologies Capital, Nexus Venture Partners","Inc42 AI Startup Tracker, Feb 2026","AI governance, well-funded",Pre-Seed / Seed,,needs-resolution,,
107,Bito AI,Pune/Menlo Park,$8.9M,Early Stage,"Eniac Ventures, NGP Capital, Vela Partners","Inc42 AI Startup Tracker, Feb 2026","Dev-tools AI, well-funded",Pre-Seed / Seed,,needs-resolution,,
108,Kombai,Pune,$4.5M,Early Stage,"Foundation Capital, Stellaris","Inc42 AI Startup Tracker, Feb 2026","Frontend AI agent, scaling",Pre-Seed / Seed,,needs-resolution,,
109,Clodura AI,Pune,$2M,Early Stage,"Bharat Innovation Fund, Malpani Ventures","Inc42 AI Startup Tracker, Feb 2026","Sales AI, scaling",Pre-Seed / Seed,,needs-resolution,,
110,Nyai AI,Pune,Undisclosed,Early Stage,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","Legal AI, early stage",Pre-Seed / Seed,,needs-resolution,,
111,FlexifyMe,Pune,Undisclosed,Early Stage,Undisclosed,Google for Startups Accelerator India 2026 cohort (announced Jul 2026),Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
112,CodeRabbit,Pune/Walnut Creek,$87.6M,Growth Stage,"CRV, NVentures, Flex Capital","Inc42 AI Startup Tracker, Feb 2026","Well-funded, hiring at scale",Pre-Seed / Seed,,ashby,https://jobs.ashbyhq.com/coderabbit,low
113,Sarvam AI,Bengaluru,$53M,Series A,"Lightspeed, Peak XV Partners, Khosla Ventures","Inc42 AI Startup Tracker, Feb 2026","High-profile, IndiaAI Mission-backed, scaling fast","Series A/B (Growth - bigger, still reachable teams)",,ashby,https://jobs.ashbyhq.com/sarvam,"medium (auto-resolved, 62/62 listed roles are India-located)"
114,Jiffy AI,Bengaluru,$71M,Series B+,"Nexus Venture Partners, Eight Roads, Iron Pillar","Inc42 AI Startup Tracker, Feb 2026","Well-funded, scaling","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
115,Ema,Bengaluru/Mountain View,$61M,Series B,"Accel, S32, Hitachi Ventures, Wipro Ventures","Inc42 AI Startup Tracker, Feb 2026","Well-funded, scaling","Series A/B (Growth - bigger, still reachable teams)",,ashby,https://jobs.ashbyhq.com/ema,low
116,Neuron7 AI,Bengaluru,$58.2M,Series B,"UBS Optimus Foundation, 1Crowd","Inc42 AI Startup Tracker, Feb 2026","Well-funded, scaling","Series A/B (Growth - bigger, still reachable teams)",,lever,https://jobs.lever.co/neuron7,"medium (auto-resolved, 15/17 listed roles are India-located)"
117,MathCo,Bengaluru,$50M,Series B,"Brighton Park Capital, Patni Financial Advisors","Inc42 AI Startup Tracker, Feb 2026","Established analytics AI, scaling","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
118,Atomicwork,Bengaluru,$39M,Series B,"Khosla Ventures, Z47, Blume Ventures","Inc42 AI Startup Tracker, Feb 2026","Well-funded, scaling","Series A/B (Growth - bigger, still reachable teams)",,greenhouse,https://job-boards.greenhouse.io/atomicwork,medium
119,Nanonets,Bengaluru,$39M,Series B,"Y Combinator, Elevation Capital, Accel","Inc42 AI Startup Tracker, Feb 2026","YC-backed, well-funded","Series A/B (Growth - bigger, still reachable teams)",,greenhouse,https://job-boards.greenhouse.io/nanonets,medium
120,Entropik,Bengaluru,$34M,Series C,"Trifecta Capital, Alteria Capital, Bessemer","Inc42 AI Startup Tracker, Feb 2026","Established, scaling","Series A/B (Growth - bigger, still reachable teams)",,smartrecruiters,https://careers.smartrecruiters.com/entropik,medium
121,Truefoundry,Bengaluru,$19M,Series A,"Peak XV Partners, Intel Capital","Inc42 AI Startup Tracker, Feb 2026","AI infra, well-funded","Series A/B (Growth - bigger, still reachable teams)",,greenhouse,https://job-boards.greenhouse.io/truefoundry,medium
122,Contlo,Bengaluru,$14.3M,Series A,"Titan Capital, Better Capital, Kae Capital","Inc42 AI Startup Tracker, Feb 2026",Growing team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
123,NextBillionAI,Hyderabad,$13.5M,Series A,"Lightspeed India, Falcon Edge Capital, M12","Inc42 AI Startup Tracker, Feb 2026",Growing team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
124,ExtraaEdge,Pune,$15M,Seed (large),Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","AI CRM for education, well-funded",Pre-Seed / Seed,,needs-resolution,,
125,Murf AI,Bengaluru,$11.5M,Series A,"Z47, Elevation Capital","Inc42 AI Startup Tracker, Feb 2026",Growing team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
126,Gnani.ai,Bengaluru,"$10M (Series B, Mar 2026)",Series B,"Aavishkaar Capital, Info Edge Ventures","Inc42 AI Startup Tracker, Feb 2026","100+ enterprise clients, actively scaling","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
127,Nektar AI,Bengaluru,$8.15M,Series A,"3one4 Capital, B Capital, Nexus Venture Partners","Inc42 AI Startup Tracker, Feb 2026",Growing team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
128,Myelin Foundry,Bengaluru,$8M,Series A,"Endiya Partners, Beyond Next Ventures","Inc42 AI Startup Tracker, Feb 2026",Growing team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
129,Altizon,Pune,$3.56M,Series A,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","Industrial IoT+ML, established since 2015","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
130,CoRover,Bengaluru,$4M,Series A,"Venture Catalysts, IIT Delhi Endowment Fund","Inc42 AI Startup Tracker, Feb 2026",Established conversational AI,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
131,Grid (utilities AI),Bengaluru,~$2.7M (₹22.5Cr),Series A,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","AI ops for utilities, growing","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
132,immunitoAI,Bengaluru,$6M,Series A,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","Recent raise, growing","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
133,Seezo,Bengaluru,$5M,Series A,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","Recent raise, growing","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
134,Markytics,Pune/Mumbai,$1.2M,Seed (large)/Series A adjacent,Undisclosed,"Inc42 AI Startup Tracker, Feb 2026","AI consulting, growing",Pre-Seed / Seed,,needs-resolution,,
135,Perseus,Bengaluru,Undisclosed (YC-backed F2025),Pre-Seed/Seed,Y Combinator,"YC company directory, Jul 2026","4-person team, actively building coding-agent product, YC F2025 batch",Pre-Seed / Seed,,needs-resolution,,
136,Craze,Mumbai,$500K,Seed,"Y Combinator, Nexus Venture Partners, Soma Capital, TRTL Ventures","YC company directory, Jul 2026","$1.5M ARR, 10 employees, YC S2022",Pre-Seed / Seed,,needs-resolution,,
